"Image","Cells","Conversion","Organoid","Cell","Sheath.length","Sheath.type","Sheath.number","Bridge.length","Cell.type","CellID","OrgID","Sheaths.percell","Tot.length"
"Image13","Cs25","Conv_1","Org_2","Cell_4",71.148,"Regular",9,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_4","Cs25.Conv_1.Org_2",15,1304.717
"Image13","Cs25","Conv_1","Org_2","Cell_4",135.295,"Regular",10,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_4","Cs25.Conv_1.Org_2",15,1304.717
"Image13","Cs25","Conv_1","Org_2","Cell_4",62.903,"Regular",11,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_4","Cs25.Conv_1.Org_2",15,1304.717
"Image13","Cs25","Conv_1","Org_2","Cell_4",56.105,"Regular",12,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_4","Cs25.Conv_1.Org_2",15,1304.717
"Image13","Cs25","Conv_1","Org_2","Cell_4",28.741,"Regular",13,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_4","Cs25.Conv_1.Org_2",15,1304.717
"Image13","Cs25","Conv_1","Org_2","Cell_4",91.186,"Regular",14,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_4","Cs25.Conv_1.Org_2",15,1304.717
"Image13","Cs25","Conv_1","Org_2","Cell_4",74.814,"Regular",15,NA,"OLs without bridges","Cs25.Conv_1.Org_2.Cell_4","Cs25.Conv_1.Org_2",15,1304.717
"Image5","Cso2","Conv_5","Org_1","Cell_1",139.866,"Anchored",1,NA,"OLs with bridges","Cso2.Conv_5.Org_1.Cell_1","Cso2.Conv_5.Org_1",8,1057.121
"Image5","Cso2","Conv_5","Org_1","Cell_1",124.253,"Bridged",2,1.96,"OLs with bridges","Cso2.Conv_5.Org_1.Cell_1","Cso2.Conv_5.Org_1",8,1057.121
"Image5","Cso2","Conv_5","Org_1","Cell_1",172.849,"Regular",3,NA,"OLs with bridges","Cso2.Conv_5.Org_1.Cell_1","Cso2.Conv_5.Org_1",8,1057.121
"Image5","Cso2","Conv_5","Org_1","Cell_1",134.244,"Regular",4,NA,"OLs with bridges","Cso2.Conv_5.Org_1.Cell_1","Cso2.Conv_5.Org_1",8,1057.121
"Image5","Cso2","Conv_5","Org_1","Cell_1",56.376,"Regular",5,NA,"OLs with bridges","Cso2.Conv_5.Org_1.Cell_1","Cso2.Conv_5.Org_1",8,1057.121
