Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(114157, 48214, 876)","(114871, 48519, 840)",,,,,b838ce5421d9871ee45051642d1bb86a26f02ec9,Line,
"(114871, 48519, 840)","(115149, 48858, 799)",,,,,b838ce5421d9871ee45051642d1bb86a26f02ec9,Line,
"(108185, 50171, 540)",,,,22 devPNB_27 at branch,,,Line Strip,f7a23acbacb7ad0a1f5ece2265c05f29efef04d7
"(108185, 50171, 540)","(108772, 49989, 566)",,,,,f7a23acbacb7ad0a1f5ece2265c05f29efef04d7,Line,
"(108772, 49989, 566)","(109491, 50394, 588)",,,,,f7a23acbacb7ad0a1f5ece2265c05f29efef04d7,Line,
"(109491, 50394, 588)","(110119, 50965, 607)",,,,,f7a23acbacb7ad0a1f5ece2265c05f29efef04d7,Line,
"(110119, 50965, 607)","(110713, 51213, 614)",,,,,f7a23acbacb7ad0a1f5ece2265c05f29efef04d7,Line,
"(100460, 45098, 1452)",,,,23 devPNB_28 at branch,,,Line Strip,d8959ca9f59a75dc5abbb856e719feedeb55c2ee
"(100460, 45098, 1452)","(100047, 45424, 1399)",,,,,d8959ca9f59a75dc5abbb856e719feedeb55c2ee,Line,
"(100047, 45424, 1399)","(99800, 45949, 1345)",,,,,d8959ca9f59a75dc5abbb856e719feedeb55c2ee,Line,
"(99800, 45949, 1345)","(99732, 46241, 1315)",,,,,d8959ca9f59a75dc5abbb856e719feedeb55c2ee,Line,
"(98083, 47714, 1152)",,,,24 devPNB_05 at branch AIT,,,Line Strip,d254de476bc8e6c61ffc931f604cfb1be5acc3c5
"(98083, 47714, 1152)","(98731, 47611, 1219)",,,,,d254de476bc8e6c61ffc931f604cfb1be5acc3c5,Line,
"(98731, 47611, 1219)","(98980, 47658, 1276)",,,,,d254de476bc8e6c61ffc931f604cfb1be5acc3c5,Line,
"(98980, 47658, 1276)","(99035, 47498, 1339)",,,,,d254de476bc8e6c61ffc931f604cfb1be5acc3c5,Line,
"(99035, 47498, 1339)","(99236, 47403, 1392)",,,,,d254de476bc8e6c61ffc931f604cfb1be5acc3c5,Line,
"(99236, 47403, 1392)","(99412, 47280, 1455)",,,,,d254de476bc8e6c61ffc931f604cfb1be5acc3c5,Line,
"(99412, 47280, 1455)","(100307, 46942, 1521)",,,,,d254de476bc8e6c61ffc931f604cfb1be5acc3c5,Line,
"(100307, 46942, 1521)","(100941, 47072, 1591)",,,,,d254de476bc8e6c61ffc931f604cfb1be5acc3c5,Line,
"(100941, 47072, 1591)","(101403, 47122, 1644)",,,,,d254de476bc8e6c61ffc931f604cfb1be5acc3c5,Line,
"(101403, 47122, 1644)","(101710, 47235, 1687)",,,,,d254de476bc8e6c61ffc931f604cfb1be5acc3c5,Line,
"(99156, 50065, 20)",,,,25 devPNB_26 at branch,,,Line Strip,13cfe0dabfb6a841f38e72eda684fb02a46af615
"(99156, 50065, 20)","(99028, 50035, 82)",,,,,13cfe0dabfb6a841f38e72eda684fb02a46af615,Line,
"(99028, 50035, 82)","(98826, 50068, 166)",,,,,13cfe0dabfb6a841f38e72eda684fb02a46af615,Line,
"(98826, 50068, 166)","(98763, 50222, 226)",,,,,13cfe0dabfb6a841f38e72eda684fb02a46af615,Line,
"(98763, 50222, 226)","(98791, 50486, 273)",,,,,13cfe0dabfb6a841f38e72eda684fb02a46af615,Line,
"(98791, 50486, 273)","(98760, 50818, 327)",,,,,13cfe0dabfb6a841f38e72eda684fb02a46af615,Line,
"(98760, 50818, 327)","(98695, 50912, 366)",,,,,13cfe0dabfb6a841f38e72eda684fb02a46af615,Line,
"(98695, 50912, 366)","(98320, 51075, 431)",,,,,13cfe0dabfb6a841f38e72eda684fb02a46af615,Line,
"(98320, 51075, 431)","(98178, 51125, 516)",,,,,13cfe0dabfb6a841f38e72eda684fb02a46af615,Line,
"(98178, 51125, 516)","(98536, 51414, 601)",,,,,13cfe0dabfb6a841f38e72eda684fb02a46af615,Line,
"(98536, 51414, 601)","(98878, 51607, 664)",,,,,13cfe0dabfb6a841f38e72eda684fb02a46af615,Line,
"(98878, 51607, 664)","(99008, 51753, 708)",,,,,13cfe0dabfb6a841f38e72eda684fb02a46af615,Line,
"(99008, 51753, 708)","(99090, 52100, 764)",,,,,13cfe0dabfb6a841f38e72eda684fb02a46af615,Line,
"(104008, 52276, 407)",,,,26 TTT,,,Line Strip,bd937fe794ad319397761f25019e677dce893941
"(104008, 52276, 407)","(103801, 52452, 372)",,,,,bd937fe794ad319397761f25019e677dce893941,Line,
"(103801, 52452, 372)","(103497, 52580, 331)",,,,,bd937fe794ad319397761f25019e677dce893941,Line,
"(103239, 47224, 184)",,,,27 TTT,,,Line Strip,f398ccb5ae7edaaba5e1f94fcb25c43801b6d416
"(103239, 47224, 184)","(103236, 46795, 146)",,,,,f398ccb5ae7edaaba5e1f94fcb25c43801b6d416,Line,
"(103236, 46795, 146)","(103084, 46417, 100)",,,,,f398ccb5ae7edaaba5e1f94fcb25c43801b6d416,Line,
"(103084, 46417, 100)","(102944, 45983, 100)",,,,,f398ccb5ae7edaaba5e1f94fcb25c43801b6d416,Line,
"(102944, 45983, 100)","(102936, 45649, 90)",,,,,f398ccb5ae7edaaba5e1f94fcb25c43801b6d416,Line,
"(102936, 45649, 90)","(102744, 45156, 57)",,,,,f398ccb5ae7edaaba5e1f94fcb25c43801b6d416,Line,
"(102744, 45156, 57)","(102352, 44814, 20)",,,,,f398ccb5ae7edaaba5e1f94fcb25c43801b6d416,Line,
"(104013, 48466, 374)",,,,28 na,,,Line Strip,c0db1fb428415703dbf81a2f25bd5581a82398ba
"(104013, 48466, 374)","(103817, 47997, 348)",,,,,c0db1fb428415703dbf81a2f25bd5581a82398ba,Line,
"(103817, 47997, 348)","(103639, 47487, 338)",,,,,c0db1fb428415703dbf81a2f25bd5581a82398ba,Line,
"(103639, 47487, 338)","(103685, 46753, 311)",,,,,c0db1fb428415703dbf81a2f25bd5581a82398ba,Line,
"(103685, 46753, 311)","(103725, 46234, 263)",,,,,c0db1fb428415703dbf81a2f25bd5581a82398ba,Line,
"(103725, 46234, 263)","(103501, 45498, 251)",,,,,c0db1fb428415703dbf81a2f25bd5581a82398ba,Line,
"(103501, 45498, 251)","(103601, 44994, 246)",,,,,c0db1fb428415703dbf81a2f25bd5581a82398ba,Line,
